Query,Prompt,Generated_Answer
what is the name of the russian fur hat,"Question: what is the name of the russian fur hat


Document 1:
McNary () is a census-designated place (CDP) in Apache and Navajo counties in the U.S. state of Arizona, on the Fort Apache Indian Reservation. The population was 528 at the 2010 census. It is a 30-minute drive from Show Low and a 10-minute drive from Pinetop-Lakeside. Geography McNary is located at (34.076687, -109.854674). According to the United States Census Bureau, the CDP has a total area of , of which is land and , or 1.30%, is water. At an elevation of , it is the second highest community in Arizona after Alpine. Climate The climate in this area has mild differences between highs and lows, and there is adequate rainfall year-round. According to the Köppen Climate Classification system, McNary has a marine west coast climate, abbreviated ""Cfb"" on climate maps. McNary has recorded one of the lowest temperature in the southwestern state of Arizona, as on January 7, 1971 the temperature froze at around −40 °F / −40 °C. McNary averages 65 inches of snow per year and is one of the coldest places in Arizona, along with Hawley Lake, which recorded the same temperature of −40 °F / −40 °C History The community was originally named Cluff Cienega by European Americans after Benjamin Cluff, a Mormon bishop who harvested hay here in 1879 and 1880 for use at Fort Apache. In 1919, the name was changed to Cooley in honor of Corydon Cooley (d. March 18, 1917), a famous hotelier of Show Low. In 1924, the land was purchased by the McNary Lumber company and was renamed after the company. Demographics As of the census of 2000, there were 349 people, 91 households, and 73 families residing in the CDP. The population density was 63.5 people per square mile (24.5/km2). There were 101 housing units at an average density of 18.4/sq mi (7.1/km2). The racial makeup of the CDP was 82.8% Native American, 8.3% White, 2.6% Black or African American, 2.9% from other races, and 3.4% from two or more races. 11.2% of the population were Hispanic or Latino of any race. There were 91 households, out of which 63.7% had children under the age of 18 living with them, 44.0% were married couples living together, 31.9% had a female householder with no husband present, and 18.7% were non-families. 16.5% of all households were made up of individuals, and 1.1% had someone living alone who was 65 years of age or older. The average household size was 3.84 and the average family size was 4.18. In the CDP, the age distribution of the population shows 48.7% under the age of 18, 7.4% from 18 to 24, 30.7% from 25 to 44, 9.5% from 45 to 64, and 3.7% who were 65 years of age or older. The median age was 19 years. For every 100 females, there were 87.6 males. For every 100 females age 18 and over, there were 86.5 males. The median income for a household in the CDP was $4,375. Males had a median income of $36,875 versus $18,375 for females. The per capita income for the CDP was $2,917. About 78.9% of families and 86.4% of the population were below the poverty line, including 96.6% of those under age 18 and 100% of those age 65 or over. Education McNary is served by the McNary Elementary School District, and by the Blue Ridge Junior High School, and Blue Ridge High School in nearby Pinetop-Lakeside. and Alchesay High School which is part of Whiteriver Unified School District. Transportation The White Mountain Apache Tribe operates the Fort Apache Connection Transit, which provides local bus service. See also Fort Apache Indian Reservation References Census-designated places in Apache County, Arizona Census-designated places in Navajo County, Arizona

",pic: <soc
who coined the term protoplasm for the fluid substance of the cell,"Question: who coined the term protoplasm for the fluid substance of the cell


Document 1:
Hazel is a home rule-class city in Calloway County, Kentucky, United States. The population was 410 at the 2010 census. Geography Hazel is located in southern Calloway County at (36.504658, −88.325443). It is north of Paris, Tennessee, and south of Murray on the Tennessee-Kentucky border. According to the United States Census Bureau, the city has a total area of , all land. History The town was founded as a stop on the Nashville, Chattanooga and St. Louis Railway in 1890. The first post office was established the same year. The origins of its name are unclear: it may have derived from local hazel shrubs or from a supposed daughter of either a railroad conductor or the first postmaster. The city was formally incorporated by the Kentucky General Assembly in 1911. Demographics As of the census of 2000, there were 440 people, 197 households, and 121 families residing in the city. The population density was 1,160.3 people per square mile (447.1/km2). There were 223 housing units at an average density of 588.1 per square mile (226.6/km2). The racial makeup of the city was 92.73% White, 7.05% African American, and 0.23% from two or more races. There were 197 households, out of which 29.4% had children under the age of 18 living with them, 47.7% were married couples living together, 11.2% had a female householder with no husband present, and 38.1% were non-families. 33.0% of all households were made up of individuals, and 15.2% had someone living alone who was 65 years of age or older. The average household size was 2.23 and the average family size was 2.86. In the city, the population was spread out, with 23.2% under the age of 18, 8.0% from 18 to 24, 28.0% from 25 to 44, 20.9% from 45 to 64, and 20.0% who were 65 years of age or older. The median age was 39 years. For every 100 females, there were 82.6 males. For every 100 females age 18 and over, there were 83.7 males. The median income for a household in the city was $28,289, and the median income for a family was $33,500. Males had a median income of $26,771 versus $17,292 for females. The per capita income for the city was $13,689. About 9.8% of families and 11.7% of the population were below the poverty line, including 15.8% of those under age 18 and 11.0% of those age 65 or over. Culture In Hazel, antique shops dot Main Street along with other shops and a small café. The town's yearly fall Hazel celebration, ""Hazel Day"", is now held in early October. Notable people Childhood home of Florida politician O. L. Burton. Birthplace of 1960s singer-songwriter Jackie DeShannon. Birthplace of philanthropist Ella Florence Fondren. References Cities in Calloway County, Kentucky Cities in Kentucky

",Question 2:
halloween the curse of michael myers paul rudd,"Question: halloween the curse of michael myers paul rudd


Document 1:
Year 938 (CMXXXVIII) was a common year starting on Monday (link will display the full calendar) of the Julian calendar. Events By place Europe Summer – The Hungarian army invades Northern Italy with the permission of King Hugh of Arles. They cross the Apennines, and sack the Lombard lands in Tuscany, Lazio and Campania. Finally, the Hungarians are defeated at Wolfenbüttel by a Saxon army. July – King Otto I besieges the fortress of Eresburg. He defeats his half-brother Thankmar and kills him as he tries to find sanctuary. Eberhard III, duke of Franconia, is banished and replaced by his uncle Berthold. Fall – Otto I defeats in two campaigns a series of uprisings in Saxony, Franconia and Lotharingia. He signs a ""friendship pact"" with King Louis IV (""d'Outremer"") of the West Frankish Kingdom. Asia Battle of Bach Dang: Vietnamese forces defeat an invading force of the Southern Han state at the Bach Dang River. This put an end to Chinese imperial domination in Vietnam after nearly 1,000 years. The Sixteen Prefectures, which includes the area around modern-day Beijing, are absorbed in the Khitan Empire. Births September 14 – Sahib ibn Abbad, Buyid grand vizier (d. 995) Almanzor, Umayyad vizier and de facto ruler (approximate date) Beatrice of France, duchess regent of Upper Lorraine (approximate date) García Fernández, count of Castile and Álava (approximate date) Olaf the Peacock, Icelandic merchant and chieftain (approximate date) Romanos II, Byzantine emperor (d. 963) Sancho II, king of Navarre (approximate date) Deaths February 3 – Zhou Ben, general of Wu (b. 962) July 28 – Thankmar, half-brother of Otto I (during the Siege of Eresburg) Lady Ise, Japanese noblewoman and poet (approximate date) Lady Peng, noblewoman of Chu (Ten Kingdoms) Muhammad ibn Ja'far al-Khara'iti, Abbasid theologian Shen Song, chancellor of Wuyue (b. 863) References


Document 2:
In computational complexity theory, is the set of all decision problems solvable by a deterministic Turing machine in exponential space, i.e., in space, where is a polynomial function of . Some authors restrict to be a linear function, but most authors instead call the resulting class . If we use a nondeterministic machine instead, we get the class , which is equal to by Savitch's theorem. A decision problem is if it is in , and every problem in has a polynomial-time many-one reduction to it. In other words, there is a polynomial-time algorithm that transforms instances of one to instances of the other with the same answer. problems might be thought of as the hardest problems in . is a strict superset of , , and and is believed to be a strict superset of . Formal definition In terms of and , Examples of problems An example of an problem is the problem of recognizing whether two regular expressions represent different languages, where the expressions are limited to four operators: union, concatenation, the Kleene star (zero or more copies of an expression), and squaring (two copies of an expression). If the Kleene star is left out, then that problem becomes , which is like , except it is defined in terms of non-deterministic Turing machines rather than deterministic. It has also been shown by L. Berman in 1980 that the problem of verifying/falsifying any first-order statement about real numbers that involves only addition and comparison (but no multiplication) is in . Alur and Henzinger extended Linear temporal logic with times (integer) and prove that the validity problem of their logic is EXPSPACE-complete. The coverability problem for Petri Nets is -complete. The reachability problem for Petri nets was known to be -hard for a long time, but shown to be non-elementary, so it is provably not in . Relationship to other classes is known to be a strict superset of , , and . It is further suspected to be a strict superset of , however this is not known. See also Game complexity References Section 9.1.1: Exponential space completeness, pp. 313–317. Demonstrates that determining equivalence of regular expressions with exponentiation is EXPSPACE-complete. Complexity classes

",
when did budapest became the capital of hungary,"Question: when did budapest became the capital of hungary


Document 1:
Pomeranian Voivodeship, Pomorskie Region, or Pomerania Province (Polish: województwo pomorskie ), is a voivodeship, or province, in northwestern Poland. The provincial capital is Gdańsk. The voivodeship was established on January 1, 1999, out of the former voivodeships of Gdańsk, Elbląg and Słupsk, pursuant to the Polish local government reforms adopted in 1997. It is bordered by West Pomeranian Voivodeship to the west, Greater Poland and Kuyavian-Pomeranian Voivodeships to the south, Warmian-Masurian Voivodeship to the east, and the Baltic Sea to the north. It also shares a short land border with Russia (Kaliningrad Oblast), on the Vistula Spit. The voivodeship comprises most of Pomerelia (the easternmost part of historical Pomerania), as well as an area east of the Vistula River. The western part of the province, around Słupsk, belonged historically to Farther Pomerania, while Pomerelia and the eastern bank of the Vistula belonged to the historical region of Prussia. The central parts of the province are also known as Kashubia, named after the Kashubian minority. The province is one of rich cultural heritage. The Tricity urban area, consisting of Gdańsk, Gdynia and Sopot, is one of the main cultural, commercial and educational centres of Poland. Gdańsk and Gdynia are two of the major Polish seaports, the first erected by Mieszko I of Poland in the Middle Ages, the latter built in the interwar period. Amongst the most recognisable landmarks of the region are the historic city centre of Gdańsk filled with Gothic, Renaissance and Baroque masterpieces, the Museum of the National Anthem in Będomin, located at the birthplace of Józef Wybicki, poet and politician, author of the national anthem of Poland, the largest medieval churches of Poland (the St. Mary's Church in Gdańsk and the Cathedral Basilica of the Assumption in Pelplin) and the Malbork Castle. The voivodeship also includes the narrow Hel Peninsula and the Polish half of the Vistula Spit. Other tourist destinations include Wejherowo, Sopot, Jurata, Łeba, Władysławowo, Puck, Krynica Morska, Ustka, Jastarnia, Kuźnica, Bytów and many fishing ports, lighthouses, and boats. The name Pomerania derives from the Slavic po more, meaning ""by the sea"" or ""on the sea"". Cities and towns The voivodeship contains more than 42 cities and towns. These are listed below in descending order of population (official 2019 figures). Administrative division Pomeranian Voivodeship is divided into 20 counties (powiats): 4 city counties, and 16 land counties. These are further divided into 123 gminas (communes). The counties are listed below in order of decreasing population. Governors Economy The Gross domestic product (GDP) of the province was 29.2 billion euros in 2018, accounting for 5.9% of Polish economic output. GDP per capita adjusted for purchasing power was 20,800 euros or 69% of the EU27 average in the same year. The GDP per employee was 74% of the EU average. Major corporations Transport SKM Gdańsk Lech Wałęsa Airport Obwodnica Trójmiejska Autostrada A1 Pomorska Kolej Metropolitalna Education Higher education Protected areas Protected areas in Pomeranian Voivodeship include two National Parks and nine Landscape Parks. These are listed below. Słowiński National Park (a UNESCO-designated biosphere reserve) Tuchola Forest National Park Coastal Landscape Park Iława Lake District Landscape Park (partly in Warmian-Masurian Voivodeship) Kashubian Landscape Park Słupia Valley Landscape Park Tricity Landscape Park Tuchola Landscape Park (partly in Kuyavian-Pomeranian Voivodeship) Vistula Spit Landscape Park Wdydze Landscape Park Zaborski Landscape Park Gallery References External links Information about Pomeranian Voivodeship - official website (pl, en, ru) Economy brochure (en) The Pomorskie Voivodeship. The Greatest Tourist Attractions - Brochure (en) Pomerania Development Agency Co. (en) Pomerania 1999 establishments in Poland States and territories established in 1999

",Question 1: What
who won best actor academy award in 1969,"Question: who won best actor academy award in 1969


Document 1:
Conger is a city in Freeborn County, Minnesota, United States. The population was 146 at the 2010 census. History A post office called Conger has been in operation since 1901. Conger was named by railroad officials. Geography According to the United States Census Bureau, the city has a total area of , all land. Conger is located along Freeborn County Roads 12 and 17. Demographics 2010 census As of the census of 2010, there were 146 people, 62 households, and 38 families living in the city. The population density was . There were 69 housing units at an average density of . The racial makeup of the city was 97.3% White, 0.7% Asian, and 2.1% from two or more races. There were 62 households, of which 33.9% had children under the age of 18 living with them, 50.0% were married couples living together, 6.5% had a female householder with no husband present, 4.8% had a male householder with no wife present, and 38.7% were non-families. 30.6% of all households were made up of individuals, and 14.5% had someone living alone who was 65 years of age or older. The average household size was 2.35 and the average family size was 2.92. The median age in the city was 32.7 years. 26.7% of residents were under the age of 18; 7.6% were between the ages of 18 and 24; 34.9% were from 25 to 44; 19.2% were from 45 to 64; and 11.6% were 65 years of age or older. The gender makeup of the city was 53.4% male and 46.6% female. 2000 census As of the census of 2000, there were 133 people, 59 households, and 42 families living in the city. The population density was 1,133.0 people per square mile (427.9/km2). There were 62 housing units at an average density of 528.2 per square mile (199.5/km2). The racial makeup of the city was 99.25% White and 0.75% African American. There were 59 households, out of which 18.6% had children under the age of 18 living with them, 62.7% were married couples living together, 6.8% had a female householder with no husband present, and 28.8% were non-families. 28.8% of all households were made up of individuals, and 11.9% had someone living alone who was 65 years of age or older. The average household size was 2.25 and the average family size was 2.76. In the city, the population was spread out, with 17.3% under the age of 18, 7.5% from 18 to 24, 26.3% from 25 to 44, 21.1% from 45 to 64, and 27.8% who were 65 years of age or older. The median age was 45 years. For every 100 females, there were 90.0 males. For every 100 females age 18 and over, there were 89.7 males. The median income for a household in the city was $32,500, and the median income for a family was $41,250. Males had a median income of $26,875 versus $18,125 for females. The per capita income for the city was $17,944. There were 3.8% of families and 4.1% of the population living below the poverty line, including no under eighteens and 10.3% of those over 64. References Cities in Minnesota Cities in Freeborn County, Minnesota

",pic: <soc
who plays the doctor in sons of anarchy,"Question: who plays the doctor in sons of anarchy


Document 1:
Phoenix Lake-Cedar Ridge is an unincorporated community and a former census-designated place (CDP) in Tuolumne County, California, United States. The population was 5,108 at the 2000 census. It was abolished prior to the 2010 census, and Phoenix Lake and Cedar Ridge became CDPs. Geography Phoenix Lake-Cedar Ridge is located at (38.019488, -120.297883). According to the United States Census Bureau, the CDP had a total area of , of which, of it was land and of it (0.55%) was water. Demographics As of the census of 2000, there were 5,123 people, 2,044 households, and 1,580 families residing in the CDP. The population density was 203.0 people per square mile (78.4/km2). There were 2,473 housing units at an average density of 98.0 per square mile (37.8/km2). The racial makeup of the CDP was 94.5% White, 0.4% African American, 1.1% Native American, 0.7% Asian, 0.2% Pacific Islander, 1.1% from other races, and 2.1% from two or more races. Hispanic or Latino of any race were 5.0% of the population. There were 2,044 households, out of which 27.7% had children under the age of 18 living with them, 66.2% were married couples living together, 7.6% had a female householder with no husband present, and 22.7% were non-families. 18.2% of all households were made up of individuals, and 8.8% had someone living alone who was 65 years of age or older. The average household size was 2.51 and the average family size was 2.80. In the CDP, the population was spread out, with 23.2% under the age of 18, 4.8% from 18 to 24, 19.6% from 25 to 44, 32.1% from 45 to 64, and 20.3% who were 65 years of age or older. The median age was 46 years. For every 100 females, there were 96.7 males. For every 100 females age 18 and over, there were 95.7 males. The median income for a household in the CDP was $44,699, and the median income for a family was $47,807. Males had a median income of $41,136 versus $26,923 for females. The per capita income for the CDP was $22,853. About 4.0% of families and 7.5% of the population were below the poverty line, including 7.0% of those under age 18 and 3.4% of those age 65 or over. Politics In the state legislature Phoenix Lake-Cedar Ridge is located in the 14th Senate District, represented by Republican Tom Berryhill, and in the 25th Assembly District, represented by Republican Kristin Olsen. In the United States House of Representatives, Phoenix Lake-Cedar Ridge is in . References Unincorporated communities in Tuolumne County, California Former census-designated places in California Unincorporated communities in California

",uestion: What is
when did disney world start using magic bands,"Question: when did disney world start using magic bands

",A. 1999
when was the qutub minar granted the world heritage site status,"Question: when was the qutub minar granted the world heritage site status

",A. 14th
who does young catherine marry in wuthering heights,"Question: who does young catherine marry in wuthering heights


Document 1:
Lodi Township is a civil township of Washtenaw County in the U.S. state of Michigan, located southwest of Ann Arbor. The population was 6,058 at the 2010 census. History Lodi Township was established in 1834 in Michigan Territory, three years before Michigan became a state. It was named after the Town of Lodi, an area near New York State's Finger Lakes. Geography According to the United States Census Bureau, the township has a total area of , of which is land and , or 0.53%, is water. Demographics As of the census of 2000, there were 5,710 people, 1,960 households, and 1,611 families residing in the township. The population density was 169.4 per square mile (65.4/km2). There were 2,031 housing units at an average density of 60.2 per square mile (23.3/km2). The racial makeup of the township was 94.24% White, 2.28% African American, 0.32% Native American, 1.40% Asian, 0.05% Pacific Islander, 0.26% from other races, and 1.45% from two or more races. Hispanic or Latino of any race were 1.23% of the population. There were 1,960 households, out of which 41.8% had children under the age of 18 living with them, 73.9% were married couples living together, 6.0% had a female householder with no husband present, and 17.8% were non-families. 13.4% of all households were made up of individuals, and 4.4% had someone living alone who was 65 years of age or older. The average household size was 2.91 and the average family size was 3.22. In the township the population was spread out, with 29.4% under the age of 18, 6.0% from 18 to 24, 26.5% from 25 to 44, 29.1% from 45 to 64, and 9.1% who were 65 years of age or older. The median age was 39 years. For every 100 females, there were 97.9 males. For every 100 females age 18 and over, there were 97.2 males. The median income for a household in the township was $88,419, and the median income for a family was $96,233. Males had a median income of $68,667 versus $39,722 for females. The per capita income for the township was $37,516. About 2.8% of families and 3.3% of the population were below the poverty line, including 4.1% of those under age 18 and 4.4% of those age 65 or over. Notable residents Orrin Howe (1786–1848), first Speaker Pro Tempore of the Michigan House of Representatives Gallery References External links Lodi Township official website Townships in Washtenaw County, Michigan Townships in Michigan 1834 establishments in Michigan Territory Populated places established in 1834

",uestion: Who is
who sang some enchanted evening in the film south pacific,"Question: who sang some enchanted evening in the film south pacific

",A. A.
when does captain america the first avenger take place,"Question: when does captain america the first avenger take place

",A. The first
